url,label
https://www.google.com,0
https://www.wikipedia.org,0
https://github.com/login,0
https://mybank.example.com/account,0
https://mail.example.org/inbox,0
http://secure-paypal-login.verify-account.com@malicious.ru,1
http://update-account-security.com/login,1
http://paypal.com.verify-user.info,1
http://banking-security-check.net/confirm,1
http://login-verify-alert.cn/auth,1
https://drive.google.com,0
https://docs.python.org,0
https://openai.com,0
https://example.com/profile,0
https://store.example.co.uk,0
http://amazon.verify-payment-update.co/secure,1
http://apple-id-check-alert.net,1
http://support-billing-update.com@phish.io,1
http://secure-login-check.freehost.biz,1
http://microsoft-security-review.xyz,1
